frame,hsv_raw_detections,hsv_pixel_coverage,filtered_detections,final_predict_output,main_failure_reason
70,0,0.07961081119226562,0,0,无HSV检测
71,0,0.19715253519635864,0,0,无HSV检测
72,1,0.17973077873046117,0,0,无HSV检测
73,1,0.14632070145725273,0,0,无HSV检测
74,2,0.19395487103489645,0,0,无HSV检测
75,0,0.16842868988391377,0,0,无HSV检测
76,1,0.17609205744328005,0,0,无HSV检测
77,1,0.1769741716947179,0,0,无HSV检测
78,1,0.17333545040753678,0,0,无HSV检测
79,1,0.14361922656222434,0,0,无HSV检测
80,1,0.13898812674217564,0,0,无HSV检测
81,0,0.12531535584488904,0,0,无HSV检测
82,0,0.10447540665466991,0,1,无HSV检测
83,0,0.10193932818178611,0,1,无HSV检测
84,0,0.09361437493384143,0,1,无HSV检测
85,0,0.08589587523376027,0,1,无HSV检测
86,0,0.08032752902155887,0,1,无HSV检测
87,0,0.15205444409159874,0,1,无HSV检测
88,2,0.31436346635616247,0,0,无HSV检测
89,2,0.3146391270597368,0,0,无HSV检测
90,0,0.3218063053526693,0,1,无HSV检测
