frame_id,event_id,event_type,milestone,motion_phase,model_raw_label,raw_label_conflict,is_peak_frame,is_contact_frame,event_start_frame,event_end_frame,peak_frame,contact_frame,bounce_frame,shot_direction,motion_energy,raw_swing_type,wrist_speed,racket_speed,ball_racket_distance,contact_score,event_contact_confidence,racket_lag_at_contact,two_hand_distance
14,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,16.4924,Forehand,18.1108,0.0,,0.0,,,75.0733
15,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.1108,Forehand,20.2237,0.0,,0.0,,,61.5873
16,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.1108,Forehand,16.6433,0.0,,0.0,,,58.5918
17,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,16.6433,Forehand,15.8114,0.0,,0.0,,,62.1691
18,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,15.8114,Forehand,11.4018,0.0,,0.0,,,62.6498
19,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,15.6605,Forehand,8.0623,20.8806,,0.0,,,63.8905
20,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,15.6605,Forehand,19.2354,11.1803,1203.8624,0.0,,,78.9177
21,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,19.2354,Forehand,21.6333,6.1033,1124.7116,0.0,,,65.6201
22,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,19.2354,Forehand,18.4391,16.568,1062.1328,0.0,,,57.6975
23,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.4391,Forehand,10.0499,5.5902,1010.6052,0.0,,,52.4309
24,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,10.3448,Forehand,0.0,13.7931,962.0976,0.0,,,31.1448
25,1,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,25,77,46,41,,screen_right,10.3448,Forehand,0.0,16.0,918.8628,0.0,0.5615,172.8844,48.2701
26,1,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,25,77,46,41,,screen_right,12.0,Forehand,23.6008,4.7434,901.2326,0.0,0.5615,172.8844,24.0832
27,1,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,25,77,46,41,,screen_right,12.0,Forehand,9.434,2.9155,888.5745,0.0,0.5615,172.8844,19.4165
28,1,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,25,77,46,41,,screen_right,16.1555,Forehand,16.1555,4.4721,882.9681,0.0,0.5615,172.8844,18.6815
29,1,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,25,77,46,41,,screen_right,16.1555,Forehand,40.7922,8.0777,871.846,0.0,0.5615,172.8844,69.1231
30,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,40.5216,Forehand,40.5216,0.0,,0.0,0.5615,172.8844,122.9309
31,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,40.5216,Forehand,27.1662,0.0,,0.0,0.5615,172.8844,170.845
32,1,Forehand,IN_EVENT,backswing,Forehand,False,False,False,25,77,46,41,,screen_right,27.1662,Forehand,25.0799,0.0,,0.0,0.5615,172.8844,220.0477
33,1,Forehand,IN_EVENT,backswing,Forehand,False,False,False,25,77,46,41,,screen_right,25.0799,Forehand,5.0,0.0,,0.0,0.5615,172.8844,250.6352
34,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,8.0623,Forehand,8.0623,0.0,,0.0,0.5615,172.8844,277.7949
35,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,8.0623,Forehand,14.0,0.0,,0.0,0.5615,172.8844,295.6011
36,1,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,25,77,46,41,,screen_right,14.0,Forehand,40.0125,0.0,,0.0,0.5615,172.8844,288.6001
37,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,40.0125,Forehand,40.1995,0.0,,0.0,0.5615,172.8844,282.45
38,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,40.1995,Forehand,40.2616,0.0,,0.0,0.5615,172.8844,279.7284
39,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,40.2616,Forehand,40.3113,0.0,,0.0,0.5615,172.8844,283.4237
40,1,Forehand,IN_EVENT,contact_candidate,Forehand,False,False,False,25,77,46,41,,screen_right,40.3113,Forehand,40.7063,0.0,105.6818,0.4129,0.5615,172.8844,291.988
41,1,Forehand,CONTACT,contact_candidate,Forehand,False,False,True,25,77,46,41,,screen_right,40.7063,Forehand,40.7185,23.3452,78.9247,0.5615,0.5615,172.8844,303.2787
42,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,40.7063,Forehand,14.4222,0.0,,0.0,0.5615,172.8844,289.8362
43,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,34.9285,Forehand,34.9285,0.0,257.4723,0.0,0.5615,172.8844,251.0717
44,1,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,25,77,46,41,,screen_right,34.9285,Forehand,40.8044,0.0,,0.0,0.5615,172.8844,215.9282
45,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,40.3609,Backhand,40.3609,0.0,,0.0,0.5615,172.8844,190.4127
46,1,Forehand,PEAK,forward_swing,Backhand,True,True,False,25,77,46,41,,screen_right,40.6079,Backhand,40.6079,0.0,,0.0,0.5615,172.8844,170.3907
47,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,40.6079,Backhand,40.6079,0.0,,0.0,0.5615,172.8844,159.7905
48,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,40.6079,Backhand,40.4599,0.0,,0.0,0.5615,172.8844,150.0
49,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,40.4599,Backhand,40.3609,0.0,,0.0,0.5615,172.8844,147.6279
50,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,40.3609,Backhand,38.2099,0.0,,0.0,0.5615,172.8844,154.5736
51,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,38.2099,Backhand,15.5563,0.0,,0.0,0.5615,172.8844,154.2077
52,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,15.5563,Backhand,4.1231,0.0,,0.0,0.5615,172.8844,146.0137
53,1,Forehand,IN_EVENT,ready,Backhand,True,False,False,25,77,46,41,,screen_right,7.0,Backhand,7.0,0.0,,0.0,0.5615,172.8844,135.0037
54,1,Forehand,IN_EVENT,ready,Backhand,True,False,False,25,77,46,41,,screen_right,7.0,Backhand,11.1803,0.0,,0.0,0.5615,172.8844,122.1024
55,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,11.1803,Backhand,14.8661,0.0,,0.0,0.5615,172.8844,108.5587
56,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,14.8661,Backhand,16.2788,0.0,,0.0,0.5615,172.8844,97.4936
57,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,16.2788,Backhand,20.2237,3.1623,,0.0,0.5615,172.8844,82.28
58,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,16.2788,Backhand,0.0,0.0,,0.0,0.5615,172.8844,82.28
59,1,Forehand,IN_EVENT,backswing,Two-Handed Backhand,True,False,False,25,77,46,41,,screen_right,20.2237,Two-Handed Backhand,40.7185,0.0,,0.0,0.5615,172.8844,48.2701
60,1,Forehand,IN_EVENT,forward_swing,Two-Handed Backhand,True,False,False,25,77,46,41,,screen_right,37.7359,Two-Handed Backhand,37.7359,0.0,,0.0,0.5615,172.8844,26.0768
61,1,Forehand,IN_EVENT,forward_swing,Two-Handed Backhand,True,False,False,25,77,46,41,,screen_right,37.7359,Two-Handed Backhand,33.2866,17.5855,,0.0,0.5615,172.8844,12.53
62,1,Forehand,IN_EVENT,forward_swing,Two-Handed Backhand,True,False,False,25,77,46,41,,screen_right,33.9706,Two-Handed Backhand,33.9706,5.8523,,0.0,0.5615,172.8844,28.2312
63,1,Forehand,IN_EVENT,forward_swing,Two-Handed Backhand,True,False,False,25,77,46,41,,screen_right,33.2866,Two-Handed Backhand,29.0689,14.6373,,0.0,0.5615,172.8844,47.5079
64,1,Forehand,IN_EVENT,backswing,Backhand,True,False,False,25,77,46,41,,screen_right,29.0689,Backhand,28.3019,19.4487,,0.0,0.5615,172.8844,67.082
65,1,Forehand,IN_EVENT,backswing,Backhand,True,False,False,25,77,46,41,,screen_right,29.0689,Backhand,28.7924,49.4217,,0.0,0.5615,172.8844,87.6641
66,1,Forehand,IN_EVENT,backswing,Backhand,True,False,False,25,77,46,41,,screen_right,28.3019,Backhand,23.0868,25.632,,0.0,0.5615,172.8844,100.0
67,1,Forehand,IN_EVENT,forward_swing,Backhand,True,False,False,25,77,46,41,,screen_right,35.5004,Backhand,16.7631,47.3339,,0.0,0.5615,172.8844,109.6358
68,1,Forehand,IN_EVENT,backswing,Backhand,True,False,False,25,77,46,41,,screen_right,23.0868,Backhand,16.2788,17.3566,,0.0,0.5615,172.8844,118.0678
69,1,Forehand,IN_EVENT,backswing,Backhand,True,False,False,25,77,46,41,,screen_right,23.2983,Backhand,10.7703,31.0644,,0.0,0.5615,172.8844,122.4827
70,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,16.2788,Backhand,8.6023,15.6205,,0.0,0.5615,172.8844,124.904
71,1,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,25,77,46,41,,screen_right,11.7154,Backhand,6.4031,9.5,,0.0,0.5615,172.8844,125.6742
72,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,7.125,Forehand,4.4721,5.0249,,0.0,0.5615,172.8844,125.5747
73,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,6.7604,Forehand,2.0,9.0139,,0.0,0.5615,172.8844,125.3994
74,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,6.7604,Forehand,2.0,31.504,,0.0,0.5615,172.8844,126.2537
75,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,6.7604,Forehand,4.1231,3.8079,,0.0,0.5615,172.8844,127.063
76,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,9.0554,Forehand,9.0554,4.0311,,0.0,0.5615,172.8844,122.0041
77,1,Forehand,IN_EVENT,ready,Forehand,False,False,False,25,77,46,41,,screen_right,9.0554,Forehand,8.2462,14.5774,,0.0,0.5615,172.8844,121.0372
78,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,9.2195,Forehand,9.2195,6.6708,,0.0,,,119.0
79,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,9.4868,Forehand,9.4868,4.5277,,0.0,,,118.0
