frame_id,timestamp,raw_swing_type,event_id,phase,motion_energy,wrist_speed,wrist_accel,racket_speed,racket_accel,ball_speed,ball_racket_distance,contact_score,two_hand_distance,active_wrist_x_offset,arm_extension_deg,shoulder_turn_deg,hip_shoulder_sep_deg
41,1.64,Two-Handed Backhand,1,ready,22.1359,24.4131,2.2772,0.0,0.0,0.0,,0.0,22.6716,65.5,99.7903,90.0,1.3972
42,1.68,Two-Handed Backhand,1,ready,24.4131,26.9258,2.5127,12.2577,12.2577,0.0,,0.0,24.0,56.0,92.6536,87.8,2.8514
43,1.72,Two-Handed Backhand,1,ready,26.9258,34.7131,7.7873,28.1603,15.9026,0.0,,0.0,49.2443,34.5,88.8209,87.3,2.6754
44,1.76,Backhand,1,ready,31.6228,31.6228,-3.0903,24.1661,-3.9942,0.0,,0.0,72.7324,14.0,87.9957,86.9,3.0665
45,1.8,Backhand,1,ready,31.6228,29.5296,-2.0931,0.0,-24.1661,0.0,,0.0,89.9889,-5.5,90.1466,86.1,3.9116
46,1.84,Backhand,1,ready,29.5296,26.5707,-2.959,0.0,0.0,0.0,,0.0,100.6628,-25.0,94.4488,84.9,5.0694
47,1.88,Backhand,1,ready,26.5707,22.8035,-3.7672,34.9857,34.9857,0.0,,0.0,107.912,-40.5,98.6784,84.7,4.6918
48,1.92,Backhand,1,ready,26.2393,15.5242,-7.2793,20.7002,-14.2855,0.0,,0.0,112.7519,-50.5,101.7982,84.8,4.5525
49,1.96,Backhand,1,ready,18.75,12.0416,-3.4826,25.0,4.2998,0.0,,0.0,114.2804,-58.5,104.5009,85.8,3.6396
50,2.0,Backhand,1,ready,15.5252,9.0554,-2.9862,11.3137,-13.6863,0.0,,0.0,116.1077,-63.5,107.2688,86.7,3.294
51,2.04,Backhand,,ready,18.75,6.3246,-2.7308,30.0666,18.7529,0.0,,0.0,116.0388,-67.0,110.3106,88.0,2.0454
52,2.08,Backhand,,ready,9.0554,4.4721,-1.8524,4.717,-25.3496,0.0,,0.0,115.0,-69.5,114.2548,88.8,1.7806
53,2.12,Backhand,,ready,6.0583,3.6056,-0.8666,8.0777,3.3608,0.0,,0.0,113.1592,-71.0,117.0354,89.6,0.9766
54,2.16,Forehand,,ready,6.0583,2.0,-1.6056,8.5147,0.4369,0.0,,0.0,113.3578,-71.0,118.5642,90.0,0.5729
55,2.2,Forehand,,ready,6.0583,2.2361,0.2361,7.1063,-1.4084,0.0,,0.0,114.5295,-71.0,119.3595,90.0,0.5729
56,2.24,Forehand,,ready,5.3297,3.0,0.7639,2.0616,-5.0448,0.0,,0.0,113.0,-72.0,120.0385,91.6,0.4908
57,2.28,Forehand,,ready,4.4721,4.4721,1.4721,4.2426,2.1811,0.0,,0.0,110.6436,-72.5,122.4062,92.0,0.8852
58,2.32,Forehand,,ready,4.4721,10.0,5.5279,0.0,-4.2426,0.0,,0.0,106.3673,-70.5,125.0223,92.8,1.1238
59,2.36,Forehand,,ready,6.7082,6.7082,-3.2918,0.0,0.0,0.0,,0.0,108.1896,-73.0,127.5438,93.2,0.9339
60,2.4,Backhand,,ready,10.0,12.53,5.8218,0.0,0.0,0.0,,0.0,105.8017,-71.0,129.3497,93.2,0.8892
61,2.44,Backhand,,ready,9.2195,9.2195,-3.3104,0.0,0.0,0.0,,0.0,106.066,-71.0,128.9825,93.6,0.7139
62,2.48,Backhand,,ready,10.198,10.198,0.9785,12.5,12.5,0.0,,0.0,107.2007,-71.0,130.083,93.6,0.1427
63,2.52,Backhand,,ready,10.198,15.2315,5.0335,2.1213,-10.3787,0.0,,0.0,103.8171,-66.0,132.0479,93.2,0.3237
64,2.56,Backhand,,ready,11.0,11.0,-4.2315,11.5434,9.4221,0.0,,0.0,102.9563,-64.0,132.1524,94.0,0.1979
65,2.6,Backhand,,ready,11.0,9.0,-2.0,13.8293,2.2859,0.0,,0.0,103.8171,-62.0,135.1426,94.7,0.065
66,2.64,Backhand,,ready,10.372,6.3246,-2.6754,0.0,-13.8293,0.0,,0.0,106.6771,-61.0,139.1107,95.5,0.0655
67,2.68,Backhand,,ready,6.3246,5.099,-1.2255,0.0,0.0,0.0,,0.0,106.5692,-60.5,143.0391,95.8,0.1827
68,2.72,Backhand,,ready,5.099,3.1623,-1.9367,0.0,0.0,0.0,,0.0,107.7868,-61.5,146.059,96.7,0.0124
69,2.76,Backhand,,ready,4.1231,4.1231,0.9608,0.0,0.0,0.0,,0.0,110.3177,-63.5,148.168,97.6,0.7502
70,2.8,Backhand,,ready,4.1231,5.831,1.7078,0.0,0.0,0.0,,0.0,112.5877,-65.5,149.343,98.6,1.5455
71,2.84,Backhand,,ready,4.1231,2.2361,-3.5949,0.0,0.0,0.0,,0.0,111.0856,-65.5,152.9691,98.8,1.5529
72,2.88,Backhand,,ready,2.2361,2.2361,0.0,0.0,0.0,0.0,,0.0,108.6692,-64.0,156.5953,99.9,2.3347
73,2.92,Backhand,,ready,2.2361,3.0,0.7639,0.0,0.0,0.0,,0.0,104.1201,-63.0,159.3193,100.6,2.9792
74,2.96,Forehand,,ready,3.0,5.831,2.831,0.0,0.0,0.0,,0.0,101.1929,-63.0,160.0037,102.0,4.2015
