frame,n,h_mean,h_p05,h_p95,s_mean,s_p05,s_p95,v_mean,v_p05,v_p95
215,441,32.848072562358276,27.0,36.0,127.91383219954649,46.0,208.0,155.20634920634922,107.0,226.0
217,441,34.40816326530612,27.0,36.0,161.11337868480726,48.0,220.0,183.37868480725623,96.0,255.0
